name,org_no,website,city,county,segment
Grimmeredes Hudläkargrupp  Göteborg,,https://grimmeredhud.se,Göteborg,Västra Götalands Län,hud
Gylle Tandvård,,https://gylletandvard.se,Borlänge,Dalarnas Län,tandvard
Hägernäs Tandklinik,,https://hagernastandklinik.se,Täby,,tandvard
Haghulta  Tandvårdsteam  Värmdö,,https://haghultatandvardsteam.se,Värmdö,,tandvard
Halina Båmstedt Hudmottagning  Östermalm,,https://hudmottagningstockholm.se,Östermalm,,hud
Hammarby Tandklinik,,https://tandlakarevasteras.nu,Västerås,,tandvard
Harmony Dental Center,,https://harmonydental.se,Stockholm,,tandvard
Hassel Dental,,https://hasseldental.se,Skärholmen,,tandvard
Hässleholms Tandvård,,https://hlmtv.se,Hässleholm,,tandvard
Helgtandvården Gävle,,https://helgtandvarden.se,Gävle,,tandvard
Helsingborgs Barn- och ungdomstandvård,969799-7428,https://barnochungdomstandvard.se,Helsingborg,,tandvard
Helsingborgs Specialisttandvård,,https://helsingborgsspecialisttandvard.se,Helsingborg,,tandvard
Helsingborgstandläkarna  Helsingborg,,https://helsingborgtandlakarna.se,Helsingborg,,tandvard
Hildmark Dental,,https://hildmarkdental.se,Stockholm,,tandvard
Hjelte Tandvård,,https://hjeltetandvard.se,Göteborg,Västra Götalands Län,tandvard
Holt Hudklinik och Estetik  Helsingborg,630220-0388,https://holthudklinik.se,Helsingborg,,hud
Huddinge Dental,,https://huddingedental.se,Huddinge,Stockholms Län,tandvard
Hudläkare Ängelholm,556847-8274,https://hudlakareangelholm.se,Ängelholm,,hud
Hudläkarna i Linköping,,https://hudlakarna.se,Linköping,Östergötlands Län,hud
Hudläkarna Nordost Kristianstad  Kristianstad,969800-9835,https://hudnordost.se,Kristianstad,,hud
Hudmottagning 1 Malmö,232100-0255,https://vard.skane.se,Malmö,,hud
Hudmottagning Hudläkarcentralen Malmö  Malmö,860430-3993,https://hudlakarcentralen.se,Malmö,,hud
Hudmottagningen  Uppsala,,https://akademiska.se,Uppsala,,hud
Imadent Tandvård AB Rosengård  Malmö,556995-7227,https://imadent.se,Malmö,,tandvard
Implantatkliniken Tandvård  Norrmalm,556491-1773,https://implantatkliniken.se,Norrmalm,,tandvard
Innerstadstandläkarna Norrmalm  Stockholm,,https://istl.se,Stockholm,,tandvard
Järntorget Tandvård,,https://jarntorgettandvard.se,Göteborg,,tandvard
Järva Tandläkarna,,https://jarvatandlakarna.se,Spånga,,tandvard
Junsele Tandvård,,https://junseletandv.se,Junsele,,tandvard
Kalix Tandläkare,,https://kalixtandlakare.se,Kalix,,tandvard
Kållered Tandvård  Kållered,,https://kalleredtandvard.se,Kållered,,tandvard
Karlaplanstandläkarna  Östermalm,,https://karlaplanstandlakarna.se,Östermalm,,tandvard
Karlatandläkarna,,https://karlatandlakarna.se,Stockholm,Stockholms Län,tandvard
Kärrtorp Tandvård,,https://karrtorptandvard.se,Johanneshov,,tandvard
Kinna Tandvård,,https://kinnatandvard.se,Kinna,Västra Götalands Län,tandvard
Kista Tandläkarna,,https://kistatandlakarna.se,Kista,,tandvard
Kungsfors Tandvård,,https://kungsforstandvard.se,Skene,Västra Götalands Län,tandvard
Kungsgatans tandvård Tandläkare Beatrice Dalman  Åmål,,https://kungsgatanstandvard.se,Åmål,,tandvard
Larsbergs Tandvård,,https://larsbergstandvard.se,Lidingö,,tandvard
Larssons Tandvård,,https://www2.praktikertjanst.se,Borås,Västra Götalands Län,tandvard
Leg Tandläkare Maria Sjökvist AB  Gävle,556253-0682,https://mariasjokvist.se,Gävle,,tandvard
Leg. tandläkare Eva Elgcrona Bardvall,,https://bardvall.se,Stockholm,,tandvard
Limhamns Familjetandläkare Tandreglering  Limhamn,559132-8348,https://limhamnsfamiljetandlakare.se,Limhamn,,tandvard
Lindö Tandvård,,https://lindotandvard.se,Västerås,,tandvard
Linnétandläkarna - Tandhygienist Annica Henning,,https://linnetandlakarna.se,Stockholm,Stockholms Län,tandvard
Linnétandvården,,https://linnetandvarden.se,Göteborg,,tandvard
Lycksele Tandklinik Staffan Söderström  Lycksele,,https://lyckseletandklinik.se,Lycksele,,tandvard
M&A Tandklinik,,https://matk.se,Helsingborg,,tandvard
M4 tandklinik,,https://m4tandklinik.se,Lerum,,tandvard
Mälardalens Tandvårdsklinik Eskilstuna,,https://mdtandvard.com,Eskilstuna,,tandvard
Målaregatans Tandvård,,https://tandlakarnathornblad.se,Lidköping,,tandvard
Marievik Dental - Sjövik,,https://marievikdental.se,Stockholm,,tandvard
Min Tandläkare Ängelholm AB  Ängelholm,556902-0729,https://mintandläkare.se,Ängelholm,,tandvard
Min Tandläkare Klippan,,https://mintandlakareklippan.se,Klippan,,tandvard
Minnas Tandvård AB  Uddevalla,,https://minnastandvard.se,Uddevalla,,tandvard
MJ Tandvård AB  Kungälv,556826-7016,https://mjtandvard.se,Kungälv,,tandvard
Mölndals Tandklinik,,https://molndalstandklinik.se,Mölndal,,tandvard
Motarjemi Dental,,https://motarjemidental.se,Angered,,tandvard
Munhälsan i Jönköping Tandvårdsklinik,,https://munhalsanjonkoping.se,Jönköping,,tandvard
Munkatandläkarna Ulrica Jakobsson  Ängelholm,,https://munkatandlakarna.se,Ängelholm,,tandvard
Närtandläkarna Gårda,,https://nartandlakarna.se,Göteborg,,tandvard
Näsbyparkstandklinik,,https://nasbyparkstandklinik.se,Täby,,tandvard
Nicopia Tandvård Tobias Block  Nyköping,,https://nicopiatandvard.se,Nyköping,,tandvard
Nilsson Specialisttandvård,,https://nilssonspecialisttandvard.se,Norrtälje,,tandvard
Nolatandläkarna - Team Ann-Kristin Börjegren  Örnsköldsvik,,https://nolatandlakarna.se,Örnsköldsvik,Västernorrlands Län,tandvard
Norra Hamnens Tandläkare Charlotta Lindersson  Helsingborg,,https://norrahamnenstandlakare.se,Helsingborg,,tandvard
Novima tandvård & Estetik  Göteborg,,https://novimatandvard.se,Göteborg,,tandvard
Novo Dental,,https://novodental.se,Sundbyberg,Stockholms Län,tandvard
Nytorgstandläkarna  Södermalm,,https://nytand.se,Södermalm,,tandvard
Oden Dental,,https://odendental.se,Stockholm,Stockholms Län,tandvard
Odentandläkarna  Skellefteå,,https://odentandlakarna.se,Skellefteå,,tandvard
Olympentandläkarna Erika Olofsson  Sundsvall,,https://olympentandlakarna.com,Sundsvall,,tandvard
One Dental,,https://onedental.nu,Grängesberg,,tandvard
Optima Tandvård Vallentuna,,https://optimatandvard.se,Vallentuna,,tandvard
Optimal Dental i Eslöv  Eslöv,559100-3834,https://optimaldental.se,Eslöv,,tandvard
Östbergatandläkarna  Älvsjö,,https://ostbergatandlakarna.se,Älvsjö,,tandvard
ÖSTERMALMS TANDVÅRD  Kristianstad,556770-8531,https://ostermalmstandvard.se,Kristianstad,,tandvard
Östermalmstandläkaren Kiruna AB,,https://ostermalmstand.se,Kiruna,,tandvard
Övre Husartandläkarna,,https://öht.se,Göteborg,,tandvard
Panorama Dental,,https://panoramadental.se,Uppsala,,tandvard
Pars Tandläkarpraktik,,https://natalija.se,Stockholm,,tandvard
Partille Privattandvård,,https://partilletandvard.se,Partille,,tandvard
Philipson Dental,,https://philipsondental.se,Stockholm,,tandvard
Primärtandvården Västra Frölunda,,https://www.denthoren.se,Västra Frölunda,Västra Götalands Län,tandvard
Privatläkarna Hudmottagning  Helsingborg,,https://privatlakarna.com,Helsingborg,Skåne Län,hud
Pro-Dental Sthlm,,https://pro-dental.se,Stockholm,,tandvard
Quality Dental Järfälla,,https://qualitydentalab.se,Järfälla,,tandvard
Radiotorgets Tandvård AB  Västra Frölunda,,https://radiotorgets-tandvard.se,Västra Frölunda,,tandvard
Rafna Dental,,https://rafnadental.se,Ramsele,,tandvard
Renaissance Dental,,https://renaissancedental.se,Solna,,tandvard
Residenspraktiken Tandläkare Oskar Sundqvist  Karlstad,,https://residenspraktiken.se,Karlstad,,tandvard
Rönneholms Tandvård,,https://ronneholmstandvard.se,Malmö,,tandvard
Rosendahl Dental  Norrmalm,,https://rosendahl-dental.se,Norrmalm,,tandvard
Royal Dental Care,,https://royalcare.se,Linköping,,tandvard
Sabelbergs Tandläkarpraktik  Malmö,600308-2069,https://sabelbergtandlakarpraktik.se,Malmö,,tandvard
Sagagallerians Tandvård  Umeå,,https://sagagallerianstandvard.se,Umeå,,tandvard
Sarkis Group Tandklinik,,https://sarkisgroup.se,Södertälje,,tandvard
SG Tandvård,,https://sgtandvard.se,Lyckeby,Blekinge Län,tandvard
ShamDent Tandvård,,https://shamdent.se,Göteborg,,tandvard
Sigma Tandvård,,https://sigmatandvard.se,Jönköping,,tandvard
Siljans Tandvård,,https://siljanstandvard.se,Leksand,,tandvard
Silky Dental,,https://silkydental.se,Stockholm,,tandvard
Sjöbo Dental AB,559396-4074,https://loredanastoicadental.se,Sjöbo,,tandvard
Skåne Tandläkarna,,https://skanetandlakarna.se,Malmö,,tandvard
Skellefteå Tandvård,,https://skellefteatandvard.se,Skellefteå,,tandvard
Sleipnertandvården  Borås,,https://sleipnertandvarden.se,Borås,,tandvard
Smile Specialisttandvård Göteborg,,https://smilespecialisttandvard.se,Göteborg,Västra Götalands Län,tandvard
Smithska Tandvårdshuset Karlskrona,,https://smithska.se,Karlskrona,,tandvard
Söder Dental,,https://soderdental.se,Stockholm,Stockholms Län,tandvard
Söder Tandvård,,https://sodertandvard.se,Helsingborg,Skåne Län,tandvard
Södertandläkarna Tandläkare Johan Dageborn  Växjö,,https://sodertand.se,Växjö,,tandvard
Södra Ölands tandvård – Färjestaden,,https://sotand.se,Färjestaden,,tandvard
Södra vägen Tandvård  Göteborg,,https://sodravagentandvard.se,Göteborg,,tandvard
Sollebrunns Tandvård,,https://sollebrunnstandvard.se,Sollebrunn,,tandvard
Sollentuna Tandläkarna,,https://tandlakaresollentuna.se,Sollentuna,,tandvard
Solna Centrums Familjetandvård,,https://german.se,Solna,,tandvard
Söråkers tandvård,,https://sorakerstandvard.se,Söråker,,tandvard
Specialisttandvården Kronan,,https://stvkronan.se,Sundbyberg,,tandvard
Specialkliniken för Tandvård  Östermalm,,https://specialtandvard.com,Östermalm,,tandvard
SS Smile Dental Gröndal,,https://sssmiledental.se,Stockholm,,tandvard
Stigbergstandläkarna,,https://stigbergstandlakarna.se,Göteborg,,tandvard
Strandpraktiken Tandläkare Jonas Lundström  Örebro,,https://strandpraktiken.se,Örebro,,tandvard
Stureplan Dental,,https://stureplandental.se,Stockholm,Stockholms Län,tandvard
Sundstandläkarna Tandläkare Alexander Tran  Helsingborg,,https://sundstandlakarna.se,Helsingborg,,tandvard
Svea Dental,,https://sveadental.se,Mölndal,,tandvard
Sveaparkens Tandläkarklinik  Hedemora,,https://sveaparkstandlakarna.se,Hedemora,,tandvard
Svenska Fot & Hudkliniken Sollentuna,,https://svenskakliniken.se,Sollentuna,Stockholms Län,hud
Swedish Dental Group  Norrmalm,,https://swedishdentalgroup.com,Norrmalm,,tandvard
Swedish Dental Shahnavaz  Kungsholmen,,https://swedishdental.com,Kungsholmen,,tandvard
Sydkliniken Tandvård  Malmö,,https://sydkliniken.se,Malmö,,tandvard
SYN Dental,,https://syndental.se,Finspång,Östergötlands Län,tandvard
Tabrizi Dental  Huddinge,,https://tabrizidental.se,Huddinge,,tandvard
Täby Tandläkarna Nazafarin Frozanpor  Täby,,https://tabytandlakarna.se,Täby,,tandvard
TandanLaget - Tandläkare Thomas Swenne,,https://tandanlaget.se,Ulricehamn,Västra Götalands Län,tandvard
Tandemtandläkarna,,https://tandemtandlakarna.se,Stockholm,,tandvard
Tandklinik Akut,,https://tandklinikakut.se,Göteborg,Västra Götalands Län,tandvard
Tandkliniken i Åkersberga,,https://tandklinikenakersberga.se,Åkersberga,,tandvard
Tandkliniken Nära Dig i Vårberg,,https://tandklinikennaradig.se,Skärholmen,Stockholms Län,tandvard
Tandkliniken på Österlen AB  Simrishamn,559280-6631,https://osterlentand.se,Simrishamn,,tandvard
Tandlaget i Sävsjö,,https://tandlagetsavsjo.se,Sävsjö,,tandvard
Tandläkare Anna Königsberg,,https://narkoskliniken.se,Stockholm,,tandvard
Tandläkare Ansari  Stockholm,,https://tandlakareansari.se,Stockholm,,tandvard
Tandläkare Benjamin och Stina  Schariot  Lerum,,https://tandlakarnaschariot.se,Lerum,,tandvard
Tandläkare Boström Spehar AB  Malmö,556867-2322,https://vagaskratta.se,Malmö,,tandvard
Tandläkare Carl Fredrik Domini  Halmstad,,https://dominitandvard.se,Halmstad,,tandvard
Tandläkare Christina Göransson,,https://tandlakarechristinagoransson.se,Skärholmen,,tandvard
Tandläkare Cleopatra Eriksson,,https://cleopatradental.se,Norrköping,Östergötlands Län,tandvard
Tandläkare Ella Yahyapour  Göteborg,,https://tandlakareella.se,Göteborg,,tandvard
Tandläkare Ewa Muhr,,https://larskohler.se,Uppsala,,tandvard
Tandläkare Helen Almström  Östermalm,,https://sturegalleriantandhalsa.se,Östermalm,,tandvard
Tandläkare Hisham Alani  Ystad,559049-0693,https://ystadtandhalsa.se,Ystad,,tandvard
Tandläkare Ivan Tvrdek  Solna,,https://rasundatandklinik.se,Solna,,tandvard
Tandläkare Johanna Andersson  Göteborg,,https://tdlandersson.se,Göteborg,,tandvard
Tandläkare Juan Aldin Smart Dentist Göteborg  Göteborg,,https://smartdentist.se,Göteborg,,tandvard
Tandläkare Kaj Bergström,,https://dentabite.se,Örebro,Örebro Län,tandvard
Tandläkare Katarina Nilsson AB  Varberg,559296-4026,https://tretandlakare.com,Varberg,,tandvard
Tandläkare Lars-Göran Jonson  Sundsvall,,https://tdl-lgjonson.se,Sundsvall,,tandvard
Tandläkare Malin Häggström,,https://tandlakaremalin.com,Stugun,,tandvard
Tandläkare Malin Örjebo Sköld,,https://tandlakaremalinorjebo.se,Stockholm,,tandvard
Tandläkare Margareta Jambor Osvald  Stockholm,,https://jambordental.se,Stockholm,,tandvard
Tandläkare Maria Brännström,,https://tandlakarnabrannstromochmahl.se,Malmköping,,tandvard
Tandläkare Marie Thårlin Ranta,,https://mariedental.se,Stockholm,Stockholms Län,tandvard
Tandläkare Mikael Jurman,,https://www.tandlakarejurman.se,Malmö,Skåne Län,tandvard
Tandläkare Mikael Neuman  Göteborg,,https://neumanab.se,Göteborg,,tandvard
Tandläkare Mona Fakir  Kungsholmen,,https://fredhallstandlakarna.se,Kungsholmen,,tandvard
Tandläkare Noemi Toth  Helsingborg,559017-0519,https://tandlakarenoemitoth.se,Helsingborg,,tandvard
Tandläkare Olov Nyström  Falkenberg,,https://tandlakarenystrom.se,Falkenberg,,tandvard
Tandläkare Pelle Jansson,,https://tandlakarepellejansson.se,Järpen,,tandvard
Tandläkare Simon Ström  Ängelholm,,https://simonstrom.se,Ängelholm,,tandvard
Tandläkare Söderman & Björnström,,https://sodermanbjornstrom.se,Västerås,,tandvard
Tandläkare Sven Bergqvist  Södermalm,,https://tandlakarn.se,Södermalm,,tandvard
Tandläkare Trybom  Skara,,https://tandlakaretrybom.se,Skara,,tandvard
Tandläkare Ulrika Jonsson  Enköping,,https://tandlakareulrikajonsson.se,Enköping,,tandvard
Tandläkare Victoria Cupen  Enköping,,https://tandlakarevictoria.se,Enköping,,tandvard
Tandläkargruppen Borås Carl Norlin  Borås,,https://tandlakargruppen.se,Borås,,tandvard
Tandläkargruppen Helsingborg Anette Borén  Helsingborg,,https://tdlg.praktikertjanst.se,Helsingborg,,tandvard
Tandläkargruppen i Eslöv  Eslöv,,https://tandlakargruppeneslov.se,Eslöv,,tandvard
Tandläkargruppen i Söderhamn,,https://tandgruppen.nu,Söderhamn,,tandvard
TandläkarGruppen Södermalm Folkungagatan  Södermalm,,https://tgsklinikerna.se,Södermalm,,tandvard
Tandläkarhuset Oskarshamn Kristina Karlsson  Oskarshamn,,https://tandlakarhusetoskarshamn.se,Oskarshamn,,tandvard
Tandläkarhuset Rimbo,,https://tandlakarhusetrimbo.se,Rimbo,,tandvard
Tandläkarkliniken Norrtälje,,https://tandlakarenorrtalje.se,Norrtälje,,tandvard
Tandläkarmottagning i Arlöv  Arlöv,,https://tdl.arlov.se,Arlöv,,tandvard
Tandläkarmottagning Kristina Fulop,,https://kristina-fulop.se,Ronneby,,tandvard
Tandläkarna Caroline & Sigrid,,https://carolineosigrid.se,Bålsta,Uppsala Län,tandvard
Tandläkarna Hedlund,,https://tandlakarna-kjm.se,Söderhamn,,tandvard
Tandläkarna Jansson,,https://tandlakarnajansson.se,Norrköping,,tandvard
Tandläkarna Lilla Torg AB  Kristianstad,556268-6765,https://tandlakarna.com,Kristianstad,,tandvard
Tandläkarna Novalund  Lund,,https://tandlakarna-novalund.se,Lund,,tandvard
Tandläkarna på Hörnet  Katrineholm,,https://tandläkarnapåhörnet.se,Katrineholm,,tandvard
Tandläkarna Södermark & Sandström,,https://sodermark-sandstrom.se,Skellefteå,Västerbottens Län,tandvard
Tandläkarna Wiklund och Krooks,,https://wktandlakarna.se,Umeå,,tandvard
Tandläkarpraktiken Höganäs  Höganäs,,https://hogstromottermo.se,Höganäs,,tandvard
Tandläkarvillan  Veberöd,,https://tandlakarvillan.nu,Veberöd,,tandvard
Tandlan AB  Kristianstad,556870-7037,https://tandla.se,Kristianstad,,tandvard
Tandvård med Mjuka Händer AB  Göteborg,,https://mjukahander.com,Göteborg,,tandvard
Tandvård och Hälsorum,,https://tandvardochhalsorum.se,Tyresö,,tandvard
Tandvården Habo AB  Habo,556431-9100,https://tandvardenhabo.se,Habo,,tandvard
Tandvården Skivarp  Skivarp,,https://tandvardenskivarp.se,Skivarp,,tandvard
Tandvården Torget i Borås,,https://tandvardentorget.se,Borås,,tandvard
Tandvårdsakademin Ystad  Ystad,,https://tandvardsakademinystad.se,Ystad,,tandvard
Tandvårdsgruppen Bromma,,https://tandvardbromma.se,Bromma,,tandvard
Tandvårdsgruppen Motala - Clinic,,https://tandvardsgruppenmotala.com,Motala,,tandvard
Tandvårdsteamet Emelie Ring  Örnsköldsvik,,https://tandvardsteamet.se,Örnsköldsvik,,tandvard
Tantolundens Tandvård  Södermalm,,https://tantokliniken.se,Stockholm,,tandvard
Team Gradeen Tandvård,,https://gradeentandvard.se,Värnamo,,tandvard
Teamtandvården Onsala AB  Onsala,556685-8766,https://teamtandonsala.se,Onsala,,tandvard
Tor Dental Sundbyberg,,https://tordental.se,Sundbyberg,,tandvard
Torgkliniken Tandvård,,https://torgkliniken.se,Spånga,,tandvard
Tre Tandläkare,,https://tretandlakare.se,Vällingby,Stockholms Län,tandvard
Trelleborgs Hudläkargrupp,,https://trelleborghud.se,Trelleborg,Skåne Län,hud
Vaggeryds Tandvård,,https://vatv.se,Vaggeryd,,tandvard
Valdemarsvik Tandläkare,,https://valdemarsvikstandlakare.se,Valdemarsvik,,tandvard
Vasakliniken Hudläkargrupp,,https://vasakliniken.se,Göteborg,Västra Götalands Län,hud
Väsbytandläkarna Javad  Upplands Väsby,,https://vasbytandlakarna.se,Upplands Väsby,,tandvard
ViDenta Tandvård  Göteborg,,https://videnta.se,Göteborg,,tandvard
West Dental Malmö,,https://westdental.se,Malmö,,tandvard
Ystad Hudläkarmottagning,,https://ystadhud.se,Ystad,Skåne Län,hud
